Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Benjamin Zhengmin Pan & family,3.4,China,electronics,891,51,"Shenzhen, China",China,Married,,Jiangsu Province Wujin Teacher School,True
Jay Paul,3.4,United States,real estate,891,73,"San Francisco, California",United States,Married,,"Bachelor of Arts/Science, Boston University",True
Remo Ruffini,3.4,Italy,winter jackets,891,59,"Como, Italy",Italy,Married,2,,True
Patrick Ryan,3.4,United States,insurance,891,83,"Winnetka, Illinois",United States,Married,3,"Bachelor of Arts/Science, Northwestern University",True
RJ Scaringe,3.4,United States,electric vehicles,891,38,"Irvine, California",United States,Married,3,,True
Lynn Schusterman,3.4,United States,"oil & gas, investments",891,82,"Tulsa, Oklahoma",United States,Widowed,3,"Drop Out, University of Miami",False
Eric Ya Shen,3.4,China,online apparel retail,891,50,"Guangzhou, China",China,,,,True
Daniel Tsai,3.4,Taiwan,finance,891,65,"Taipei, Taiwan",Taiwan,Married,4,"LLM, Georgetown University; LLB, National Taiwan University",False
Tung Chee Chen,3.4,Hong Kong,shipping,891,78,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Science, Massachusetts Institute of Technology; Bachelor of Arts/Science, University of Liverpool",False
Bulat Utemuratov,3.4,Kazakhstan,"mining, banking, hotels",891,63,"Astana, Kazakhstan",Kazakhstan,Married,3,,True
Frank VanderSloot,3.4,United States,"nutrition, wellness products",891,72,"Idaho Falls, Idaho",United States,Married,14,"Bachelor of Arts/Science, Brigham Young University",True
Kelcy Warren,3.4,United States,pipelines,891,65,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",True
Xu Yi,3.4,China,Internet,891,,,,,,,
Vladimir Yevtushenkov,3.4,Russia,"telecom, investments",891,72,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Mendeleyev Chemical Engin; Master of Science, Moscow State University",True
Somphote Ahunai,3.3,Thailand,renewable energy,925,53,"Bangkok, Thailand",Thailand,Married,3,"Master of Business Administration, Joseph M. Katz Graduate School of Business",True
John Arnold,3.3,United States,hedge funds,925,47,"Houston, Texas",United States,Married,2,"Bachelor of Arts/Science, Vanderbilt University",True
Neal Blue & family,3.3,United States,defense,925,86,"San Diego, California",United States,Widowed,,"Bachelor of Arts/Science, Yale University",True
Alejandro Bulgheroni,3.3,Argentina,oil & gas,925,76,"Manantiales, Uruguay",Argentina,Married,7,,False
Dong Jinggui,3.3,China,electric scooters,925,,"Wuxi, China",China,Married,,,True
Joseph Edelman,3.3,United States,hedge funds,925,65,"New York, New York",United States,Married,,"Master of Business Administration, New York University; Bachelor of Arts/Science, University of California, San Diego",True
Charles Edelstenne,3.3,France,aviation,925,83,"Paris, France",France,,,,True
Senapathy Gopalakrishnan,3.3,India,software services,925,66,"Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology",True
B. Wayne Hughes,3.3,United States,self storage,925,87,"Lexington, Kentucky",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern California",True
Ravi Jaipuria,3.3,India,"soft drinks, fast food",925,66,"Delhi, India",India,Married,2,,False
Samvel Karapetyan,3.3,Russia,real estate,925,55,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Yerevan Polytechnic Institute",True
Vyacheslav Kim,3.3,Kazakhstan,fintech,925,51,"Almaty, Kazakhstan",Kazakhstan,Single,,,True
Jim Koch,3.3,United States,beer,925,71,"Newton, Massachusetts",United States,Married,4,"Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Harvard University; Master of Business Administration, Harvard University",True
"Andre Koo, Sr.",3.3,Taiwan,financial services,925,53,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",False
Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69,"St. Petersburg, Russia",Russia,Married,1,"Doctorate, St Petersburg State University",True
Richard LeFrak & family,3.3,United States,real estate,925,75,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Doctor of Jurisprudence, Columbia University",False
Kevin David Lehmann,3.3,Germany,drugstores,925,18,,Germany,,,,False
Horst Paulmann & family,3.3,Chile,retail,925,86,"Santiago, Chile",Chile,Married,3,,True
Jean (Gigi) Pritzker,3.3,United States,"hotels, investments",925,58,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Stanford University",False
Qi Xiangdong,3.3,China,software,925,50,"Beijing, China",China,Married,,"Master of Business Administration, Beijing University of Science and Technology; Bachelor of Arts/Science, Changchun College of Posts and Telecommunications",True
Renzo Rosso & family,3.3,Italy,fashion,925,65,"Bassano del Grappa, Italy",Italy,Divorced,7,,True
Stephen Rubin,3.3,United Kingdom,sports apparel,925,84,"London, United Kingdom",United Kingdom,Married,4,,False
"Bernard Saul, II.",3.3,United States,"banking, real estate",925,89,"Chevy Chase, Maryland",United States,Married,5,"LLB, University of Virginia; Bachelor of Arts/Science, Villanova University",False
Klaus-Peter Schulenberg,3.3,Germany,ticketing service,925,,"Bremen, Germany",Germany,Married,,,True
Tahir & family,3.3,Indonesia,diversified,925,69,"Jakarta, Indonesia",Indonesia,Married,4,"Master of Business Administration, Golden Gate University; Bachelor of Arts/Science, Nan Yang University",True
Lucio Tan,3.3,Philippines,diversified,925,86,"Manila, Philippines",Philippines,Married,6,"Bachelor of Arts/Science, Far Eastern University",True
Lottie Tham & family,3.3,Sweden,H&M,925,72,"Stockholm, Sweden",Sweden,Married,3,,False
Wang Wenxue,3.3,China,real estate,925,53,"Beijing, China",China,Married,,,True
Hans Peter Wild,3.3,Switzerland,flavorings,925,79,"Zug, Switzerland",Switzerland,Divorced,2,,False
"William Wrigley, Jr.",3.3,United States,chewing gum,925,57,"North Palm Beach, Florida",United States,Divorced,4,"Bachelor of Arts/Science, Duke University",False
Zhang Xin & Pan Shiyi,3.3,China,real estate,925,55,"Beijing, China",China,Married,2,"Master of Arts, Cambridge University; Bachelor of Arts/Science, University of Sussex",True
Giuliana Benetton,3.2,Italy,"fashion retail, investments",956,83,"Treviso, Italy",Italy,Widowed,4,,True
Luciano Benetton,3.2,Italy,"fashion retail, investments",956,85,"Ponzano Veneto, Italy",Italy,Married,4,,True
Tomasz Biernacki,3.2,Poland,supermarkets,956,48,"Krotoszyn,, Poland",Poland,,,,True
Chey Tae-won,3.2,South Korea,"oil, semiconductor",956,60,"Seoul, South Korea",South Korea,Separated,4,"Bachelor of Arts/Science, Korea University; Master of Science, University of Chicago",False
John Collison,3.2,Ireland,payments software,956,30,"San Francisco, California",Ireland,Single,,"Drop Out, Harvard University",True
Patrick Collison,3.2,Ireland,payment software,956,32,"San Francisco, California",Ireland,Engaged,,"Drop Out, Massachusetts Institute of Technology",True
Jack Cowin,3.2,Australia,fast food,956,78,"Sydney, Australia",Australia,Married,4,"Bachelor of Arts/Science, University of Western Ontario",True
Archie Aldis Emmerson & family,3.2,United States,"timberland, lumber mills",956,92,"Redding, California",United States,Married,3,"Diploma, High School",True
Yoichi & Keiko Erikawa,3.2,Japan,videogames,956,,"Yokohama, Japan",Japan,Married,,,True
Juan Carlos Escotet,3.2,Venezuela,banking,956,61,"A Coruña, Spain",Venezuela,Married,4,"Master, University of Miami",True
Carlo Fidani,3.2,Canada,real estate,956,66,"Toronto, Canada",Canada,,,,False
Don Hankey,3.2,United States,auto loans,956,77,"Malibu, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California",True
Otto Happel,3.2,Germany,engineering,956,73,"Luzerne, Switzerland",Germany,Married,6,,False
He Zhaoxi,3.2,China,software,956,47,"Shenzhen, China",China,Married,,"Bachelor of Engineering, Huazhong University of Science and Technology",True
Heidi Horten,3.2,Austria,retail,956,80,"Vienna, Austria",Austria,"Widowed, Remarried",,,False
Ke Zunhong & family,3.2,China,pharmaceuticals,956,66,"Chengdu, China",China,Married,,,True
Thai Lee,3.2,United States,IT provider,956,62,"Austin, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",True
Mikhail Lomtadze,3.2,Georgia,fintech,956,45,"Almaty, Kazakhstan",Georgia,Single,,"Master of Business Administration, Harvard Business School",True
Ronald McAulay,3.2,Hong Kong,energy,956,85,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Arts, University of Glasgow",False
Maja Oeri,3.2,Switzerland,Pharmaceuticals,956,66,"Basel, Switzerland",Switzerland,Married,,,False
James Packer,3.2,Australia,casinos,956,53,"Los Angeles, California",Australia,Divorced,3,,False
John Sall,3.2,United States,software,956,73,"Cary, North Carolina",United States,Married,4,"Bachelor of Arts/Science, Beloit College; Master of Arts, Northern Illinois University",True
Naguib Sawiris,3.2,Egypt,telecom,956,66,"Cairo, Egypt",Egypt,Married,4,"Bachelor of Arts/Science, Swiss Federal Polytechnical Institute; Master of Science, Swiss Federal Polytechnical Institute",False
Zygmunt Solorz-Zak,3.2,Poland,TV broadcasting,956,64,"Warsaw, Poland",Poland,Divorced,3,,True
Lawrence Stroll,3.2,Canada,fashion investments,956,61,"Geneva, Switzerland",Canada,Married,2,,True
Rita Tong Liu,3.2,Hong Kong,real estate,956,72,"Hong Kong, Hong Kong",Hong Kong,Widowed,2,,True
Tsai Cheng-ta,3.2,Taiwan,finance,956,71,"Taipei, Taiwan",Taiwan,Married,,Chinese Culture University,False
Tsai Hong-tu,3.2,Taiwan,finance,956,68,"Taipei, Taiwan",Taiwan,Married,3,"Law Degree, National Taiwan University; Ph.D, Southern Methodist University",False
Steve Wynn,3.2,United States,"casinos, hotels",956,79,"Las Vegas, Nevada",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania",True
Zhang Li,3.2,China,real estate,956,68,"Guangzhou, China",China,Married,1,,True
Otto Philipp Braun,3.1,Germany,medical technology,986,43,"Melsungen, Germany",Germany,,,,False
John Caudwell,3.1,United Kingdom,mobile phones,986,68,"Stoke-on-Trent, United Kingdom",United Kingdom,Divorced,6,,True
Chi Yufeng,3.1,China,software,986,50,"Beijing, China",China,,,,False
Camilla de Godoy Bueno Grossi,3.1,Brazil,medical labs,986,42,"London, United Kingdom",Brazil,Married,,,False
Antonio Del Valle Ruiz & family,3.1,Mexico,chemicals,986,82,"Mexico City, Mexico",Mexico,Married,5,,True
Martin Ebner,3.1,Switzerland,investments,986,75,"Wilen, Switzerland",Switzerland,Married,,"Doctorate, University of Florida; Bachelor of Arts/Science, University of Zurich",True
John Fisher,3.1,United States,Gap,986,59,"San Francisco, California",United States,Married,4,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford Graduate School of Business",False
Jane Goldman,3.1,United States,real estate,986,65,"New York, New York",United States,Married,2,,False
Gu Yuhua & family,3.1,China,furniture,986,71,"Hangzhou, China",China,Married,,,True
Hao Hong,3.1,United States,pharmaceuticals,986,65,"Tianjin, China",United States,,,,True
Hoi Kin Hong,3.1,Macao,real estate,986,68,"Shanghai, China",Macao,Married,2,,True
Jin Lei,3.1,China,pharmaceuticals,986,55,"Changchun, China",China,Married,,,True
Artem Khachatryan,3.1,Russia,retail,986,46,"Moscow, Russia",Russia,,,"Master of Science, Moscow State Mining University",True
Li Gaiteng,3.1,China,hair dryers,986,49,"Shanghai, China",China,Married,,,True
Li Zhongchu,3.1,China,software,986,57,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Wuhan University",True
Harald Link,3.1,Thailand,diversified,986,66,"Bangkok, Thailand",Thailand,Married,2,,False
Sergey Lomakin,3.1,Russia,retail,986,47,"Moscow, Russia",Russia,Married,5,"Master of Science, Moscow State Mining University",True
Nie Tengyun & family,3.1,China,logistics,986,45,"Shanghai, China",China,Married,,,True
Prasert Prasarttong-Osoth,3.1,Thailand,hospitals,986,88,"Bangkok, Thailand",Thailand,Married,5,,True
Penny Pritzker,3.1,United States,"hotels, investments",986,62,"Chicago, Illinois",United States,Married,2,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University",False
Herb Simon,3.1,United States,real estate,986,86,"Indianapolis, Indiana",United States,Married,8,"Bachelor of Arts/Science, City College of New York",True
Jerry Speyer,3.1,United States,real estate,986,80,"New York, New York",United States,Married,4,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Columbia University",True
Wilhelm Beier & family,3.0,Germany,pharmaceuticals,1008,65,Germany,Germany,,,,True
Koos Bekker,3.0,South Africa,"media, investments",1008,68,"Cape Town, South Africa",South Africa,Married,2,"Master of Business Administration, Columbia Business School; LLB, University of Witwatersrand",True
Ben Chestnut,3.0,United States,email marketing,1008,46,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Institute of Technology",True
John Coates,3.0,United Kingdom,online gambling,1008,51,"Stoke-On-Trent, United Kingdom",United Kingdom,Married,2,,True
Pedro de Godoy Bueno,3.0,Brazil,health insurance,1008,31,"Sao Paulo, Brazil",Brazil,Married,,,False
Carl Douglas,3.0,Sweden,investments,1008,60,"Stockholm, Sweden",Sweden,,,"Bachelor of Arts/Science, Middlebury College",False
Eric Douglas,3.0,Sweden,investments,1008,53,"Stockholm, Sweden",Sweden,Married,,"Bachelor of Arts/Economics, Lund University",False
Behdad Eghbali,3.0,United States,private equity,1008,45,"Los Angeles, California",United States,Married,,,True
Jose E. Feliciano,3.0,United States,private equity,1008,47,"Marina Del Rey, California",United States,Married,,,True
Philippe Foriel-Destezet,3.0,France,employment agency,1008,85,"London, United Kingdom",France,Married,4,"Master of Business Administration, HEC Paris",True
Gan Zhongru,3.0,China,pharmaceuticals,1008,72,"Beijing, China",China,,,"Ph.D, Michigan State University",True
Allan Goldman,3.0,United States,real estate,1008,78,"New York, New York",United States,Divorced,4,,False
Amy Goldman Fowler,3.0,United States,real estate,1008,67,"Rhinebeck, New York",United States,Married,,,False
Alec Gores,3.0,United States,private equity,1008,68,"Beverly Hills, California",United States,Married,6,"Bachelor of Arts/Science, Western Michigan University",True
Peter Grogg,3.0,Switzerland,biochemicals,1008,79,"Liestal, Switzerland",Switzerland,,,,True
Jimmy Haslam,3.0,United States,"gas stations, retail",1008,67,"Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, University of Tennessee Knoxville",False
Christian Haub,3.0,Germany,retail,1008,56,"Greenwich, Connecticut",Germany,Married,4,,False
Gudrun Heine,3.0,Germany,medical devices,1008,66,"Ohningen, Germany",Germany,,,,False
Huang Jinfeng,3.0,China,e-commerce,1008,38,"Guangzhou, China",China,,,,True
Huang Rulun,3.0,China,real estate,1008,69,"Beijing, China",China,Married,2,,True
James Irsay,3.0,United States,Indianapolis Colts,1008,61,"Carmel, Indiana",United States,Divorced,3,"Bachelor of Arts/Science, Southern Methodist University",False
Justin Ishbia,3.0,United States,★,1008,43,"Chicago, Illinois",United States,Married,2,"Bachelor of Arts/Science, Michigan State University; Doctor of Jurisprudence, Vanderbilt University",False
Diane Kemper,3.0,United States,real estate,1008,75,"New York, New York",United States,Widowed,,,False
George Kurtz,3.0,United States,security software,1008,50,"Paradise Valley, Arizona",United States,Married,2,"Bachelor of Science, Seton Hall University",True
Dan Kurzius,3.0,United States,email marketing,1008,49,"Atlanta, Georgia",United States,Married,2,,True
Kwek Leng Beng,3.0,Singapore,diversified,1008,80,"Singapore, Singapore",Singapore,Married,2,"LLB, University of London",False
Geoffrey Kwok,3.0,Hong Kong,real estate,1008,36,"Hong Kong, Hong Kong",Hong Kong,Single,,"Bachelor of Arts/Economics, Yale University",False
Sheldon Lavin,3.0,United States,meat processing,1008,88,"Highland Park, New Jersey",United States,,,,True
Louis Le Duff,3.0,France,bakeries,1008,74,"Paris, France",France,Married,2,,True
James Leprino,3.0,United States,cheese,1008,83,"Indian Hills, Colorado",United States,Married,2,,False
Joseph Liemandt,3.0,United States,software,1008,52,"Austin, Texas",United States,Single,,"Drop Out, Stanford University",True
Peter Lim,3.0,Singapore,investments,1008,67,"Singapore, Singapore",Singapore,Married,2,,True
Jeffrey Lurie,3.0,United States,Philadelphia Eagles,1008,69,"Wynnewood, Pennsylvania",United States,Married,2,"Doctorate, Brandeis University; Bachelor of Arts/Science, Clark University",False
Tom Morris,3.0,United Kingdom,retail,1008,66,"Merseyside, United Kingdom",United Kingdom,Married,,,True
Or Wai Sheun,3.0,Hong Kong,real estate,1008,69,"Hong Kong, Hong Kong",Hong Kong,Married,2,,True
P.V. Ramprasad Reddy,3.0,India,pharmaceuticals,1008,63,"Hyderabad, India",India,Married,2,,True
Haim Saban,3.0,United States,"TV network, investments",1008,76,"Beverly Hills, California",United States,Married,4,"Diploma, High School",True
Ferit Faik Sahenk,3.0,Turkey,diversified,1008,57,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Boston College",False
Eddy Kusnadi Sariaatmadja,3.0,Indonesia,"media, tech",1008,67,"Jakarta, Indonesia",Indonesia,Married,4,"Bachelor of Engineering, University of New South Wales; Master of Science in Engineering, University of New South Wales",True
Gil Shwed,3.0,Israel,software,1008,52,"Tel Aviv, Israel",Israel,Single,,,True
Song Zuowen,3.0,China,"aluminum, diversified",1008,74,"Longkou, China",China,Married,2,,True
Friede Springer,3.0,Germany,publishing,1008,78,"Berlin, Germany",Germany,Widowed,,,False
Sybill Storz,3.0,Germany,medical devices,1008,84,"Leipzig, Germany",Germany,Married,1,,False
Pat Stryker,3.0,United States,medical equipment,1008,65,"Fort Collins, Colorado",United States,Divorced,3,"Drop Out, University of Northern Colorado",False
Hans Sy,3.0,Philippines,diversified,1008,65,"Manila, Philippines",Philippines,Married,4,"Bachelor of Science, De La Salle University",False
Herbert Sy,3.0,Philippines,diversified,1008,64,"Manila, Philippines",Philippines,Married,,"Bachelor of Science, De La Salle University",False
Andrew Tan,3.0,Philippines,diversified,1008,71,"Manila, Philippines",Philippines,Married,4,"Bachelor of Arts/Science, University of the East",True
Tian Ming,3.0,China,measuring instruments,1008,67,"Hefei, China",China,Married,,,True
Wang Changtian,3.0,China,"TV, movie production",1008,56,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Fudan University",True
Richard White,3.0,Australia,software,1008,66,"Sydney, Australia",Australia,,2,,True
Cameron Winklevoss,3.0,United States,cryptocurrency,1008,39,"New York, New York",United States,,,"Bachelor of Arts/Economics, Harvard University",True
Tyler Winklevoss,3.0,United States,cryptocurrency,1008,39,"New York, New York",United States,,,"Bachelor of Arts/Economics, Harvard University",True
Xia Zuoquan,3.0,China,automobiles,1008,59,"Shenzhen, China",China,,,,True
Yin Xin,3.0,China,video streaming app,1008,36,"Beijing, China",China,,,,True
Zhang Lei,3.0,China,investments,1008,48,"Hong Kong, Hong Kong",China,Married,2,"Bachelor of Arts/Economics, Renmin University of China; Master of Business Administration, The Yale School of Management; Master of Arts, Yale University",True
Zhu Xingming,3.0,China,electrical equipment,1008,54,"Shenzhen, China",China,,,,True
Juan Abello,2.9,Spain,investments,1064,79,"Madrid, Spain",Spain,Married,4,,False
Ben Ashkenazy,2.9,United States,real estate,1064,51,"New York, New York",United States,Married,3,"Drop Out, Adelphi University",True
Sid Bass,2.9,United States,"oil, investments",1064,79,"Fort Worth, Texas",United States,Divorced,2,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",False
Joesley Batista,2.9,Brazil,beef processing,1064,49,"Sao Paulo, Brazil",Brazil,Married,4,,False
Wesley Batista,2.9,Brazil,beef packing,1064,48,"Sao Paulo, Brazil",Brazil,Married,3,,False
Riley Bechtel & family,2.9,United States,"engineering, construction",1064,69,"San Francisco, California",United States,Married,3,"Doctor of Jurisprudence, Stanford University; Master of Business Administration, Stanford University; Bachelor of Arts/Science, University of Calif Davis",False
Sanjeev Bikhchandani,2.9,India,Internet,1064,57,"Delhi, India",India,Married,2,"Master of Business Administration, Indian Institute of Management, Ahmedabad; Bachelor of Arts/Economics, St Stephen's College (India)",True
Cao Ji,2.9,China,manufacturing,1064,69,"Hangzhou, China",China,,,,True
Chen Kaixuan,2.9,China,household chemicals,1064,63,"Guangzhou, China",China,,,,True
Bennett Dorrance,2.9,United States,Campbell Soup,1064,75,"Paradise Valley, Arizona",United States,Married,2,"Bachelor of Arts/Science, University of Arizona",False
Marcel Erni,2.9,Switzerland,private equity,1064,56,"Zug, Switzerland",Switzerland,,,,True
Walter Faria,2.9,Brazil,beer,1064,66,"Rio de Janeiro, Brazil",Brazil,,1,,True
Fu Guangming & family,2.9,China,poultry,1064,67,"Nanping, China",China,Married,2,,True
Bob Gaglardi,2.9,Canada,hotels,1064,80,"Vancouver, Canada",Canada,Married,4,"Bachelor of Engineering, Letourneau College",True
Alfred Gantner,2.9,Switzerland,private equity,1064,53,"Zug, Switzerland",Switzerland,Married,5,,True
Maggie Hardy Knox,2.9,United States,building materials,1064,55,"Belle Vernon, Pennsylvania",United States,Married,1,"Drop Out, West Virginia University",False
Hu Yangzhong,2.9,China,technology,1064,56,"Hangzhou, China",China,,,,True
Huang Qiaoling,2.9,China,amusement parks,1064,62,"Hangzhou, China",China,Married,2,,True
Huang Zhenda & family,2.9,China,construction,1064,73,"Shantou, China",China,Married,,,True
Bradley Jacobs,2.9,United States,logistics,1064,64,"Greenwich, Connecticut",United States,Married,4,,True
Osman Kibar,2.9,United States,biotech,1064,50,"La Jolla, California",United States,Married,4,"Bachelor of Arts/Science, California Institute of Technology; Bachelor of Arts/Science, Pomona College; Master of Science, University of California, San Diego; Ph.D, University of California, San Diego",True
Kim Taek-jin,2.9,South Korea,online games,1064,54,"Seoul, South Korea",South Korea,Married,4,"Bachelor of Arts/Science, Seoul National University; Master of Science, Seoul National University",True
Maritsa Lazari & family,2.9,United Kingdom,real estate,1064,76,"London, United Kingdom",United Kingdom,Widowed,3,,True
Pablo Legorreta,2.9,United States,investments,1064,57,"Sag Harbor, New York",United States,Married,2,"Bachelor of Science in Engineering, Universidad Iberoamericana",True
Liang Yunchao,2.9,China,nutritional supplements,1064,52,"Guangzhou, China",China,Married,2,"Master of Business Administration, Sun Yat-sen University; Bachelor of Arts/Science, Zhongnan University of Economics and Law",True
Samir Mehta,2.9,India,"pharmaceuticals, power",1064,57,"Ahmedabad, India",India,Married,,,False
Sudhir Mehta,2.9,India,"pharmaceuticals, power",1064,67,"Ahmedabad, India",India,Married,2,,False
Farhad Moshiri,2.9,United Kingdom,diversified,1064,65,"Monaco, Monaco",United Kingdom,Separated,2,"Bachelor of Arts/Science, University of London",True
Patrice Motsepe,2.9,South Africa,mining,1064,59,"Johannesburg, South Africa",South Africa,Married,3,,True
Matt Moulding,2.9,United Kingdom,e-commerce,1064,49,"Cheshire, United Kingdom",United Kingdom,,,"Bachelor of Arts/Economics, Nottingham University",True
Alexander Nesis,2.9,Russia,"metals, banking, fertilizers",1064,58,"Moscow, Russia",Russia,Married,5,"Bachelor of Arts/Science, Leningrad Technological Institute",True
Benjamin Otto,2.9,Germany,retail,1064,,"Hamburg, Germany",Germany,,,,False
Lucy Peng,2.9,China,e-commerce,1064,48,"Hangzhou, China",China,,,"Bachelor of Arts/Science, Zhejiang Gongshang University",True
Sebastian Piñera & family,2.9,Chile,investments,1064,71,"Santiago, Chile",Chile,Married,4,"Doctorate, Harvard University",True
Alexander Ponomarenko,2.9,Russia,"real estate, airport",1064,56,"Moscow, Russia",Russia,Married,3,"Master of Science, Russian State Academy of Management; Bachelor of Arts/Science, Simferopol State University",True
Chandru Raheja,2.9,India,real estate,1064,80,"Mumbai, India",India,Married,2,"LLB, Bombay University",False
Chad Richison,2.9,United States,payroll processing,1064,50,"Edmond, Oklahoma",United States,Married,4,"Bachelor of Arts/Science, University of Central Oklahoma",True
Arkady Rotenberg,2.9,Russia,"construction, pipes, banking",1064,69,"Moscow, Russia",Russia,Divorced,5,"Bachelor of Arts/Science, Leningrad Institute of Physical Culture",True
Alejandro Santo Domingo,2.9,United States,beer,1064,44,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Harvard University",False
Paul Sciarra,2.9,United States,Pinterest,1064,40,"San Francisco, California",United States,Married,,"Bachelor of Arts/Science, Yale University",True
Alexander Skorobogatko,2.9,Russia,"real estate, airport",1064,53,"Moscow, Russia",Russia,Divorced,3,"Master of Science, Plekhanov Russian University of Economics",True
Jeff Sutton,2.9,United States,real estate,1064,61,"New York, New York",United States,Married,5,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Glen Taylor,2.9,United States,printing,1064,80,"Mankato, Minnesota",United States,Married,5,"Bachelor of Arts/Science, Minnesota State University",True
Urs Wietlisbach,2.9,Switzerland,private equity,1064,59,"Zug, Switzerland",Switzerland,,,,True
Xu Yingzhuo,2.9,China,agribusiness,1064,53,"Guangzhou, China",China,,,,True
Jon Yarbrough,2.9,United States,video games,1064,63,"Franklin, Tennessee",United States,Married,2,"Bachelor of Arts/Science, Tennessee Technological University",True
Ye Fan & family,2.9,China,auto dealerships,1064,50,"Dongguan, China",China,Married,,,True
William Ackman,2.8,United States,hedge funds,1111,54,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University",True
Abdulla bin Ahmad Al Ghurair & family,2.8,United Arab Emirates,diversified,1111,,"Dubai, United Arab Emirates",United Arab Emirates,,,,False
Bai Baokun,2.8,China,hardware,1111,,"Dongguan, China",China,,,,True
David Baszucki,2.8,United States,online games,1111,58,"San Francisco, California",United States,Married,,,True
Aneel Bhusri,2.8,United States,business software,1111,55,"San Francisco, California",United States,Married,1,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business",True
Norman Braman,2.8,United States,"art, car dealerships",1111,88,"Miami, Florida",United States,Married,2,"Bachelor of Arts/Science, Temple University",True
Eva Maria Bucher-Haefner,2.8,Switzerland,"software, investments",1111,64,"Zurich, Switzerland",Switzerland,Married,2,,False
Vivek Chand Burman,2.8,India,consumer goods,1111,84,"Delhi, India",India,Married,2,"Bachelor of Arts/Science, University of Miami",False
John Catsimatidis,2.8,United States,"oil, real estate",1111,72,"New York, New York",United States,Married,2,"Drop Out, New York University",True
Morris Chang,2.8,Taiwan,semiconductors,1111,89,"Hsinchu, Taiwan",Taiwan,Married,1,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology; Ph.D, Stanford University",True
Chen Hua,2.8,China,real estate,1111,55,"Shenzhen, China",China,Married,,,True
Chen Huwen,2.8,China,stationery,1111,50,"Shanghai, China",China,,,,True
Chen Huxiong,2.8,China,stationery,1111,50,"Shanghai, China",China,,,,True
Chen Tianshi,2.8,China,semiconductors,1111,36,"Beijing, China",China,,,,True
James Clark,2.8,United States,"Netscape, investments",1111,77,"Palm Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, University of New Orleans; Master of Science, University of New Orleans; Ph.D, University of Utah",True
Jean Coutu & family,2.8,Canada,drugstores,1111,93,"Montreal, Canada",Canada,Married,5,,True
Deng Weiming & family,2.8,China,materials,1111,52,"Changsha, China",China,Married,,,True
Bergit Douglas,2.8,Germany,consumer goods,1111,74,"Frankfurt, Germany",Germany,Married,5,,False
Doris Fisher,2.8,United States,Gap,1111,89,"San Francisco, California",United States,Widowed,3,"Bachelor of Arts/Science, Stanford University",True
Gary Friedman,2.8,United States,Furniture retail,1111,63,"Belvedere, California",United States,In Relationship,2,"Drop Out, Santa Rosa Junior College",True
Valentin Gapontsev & family,2.8,United States,lasers,1111,82,"Worcester, Massachusetts",United States,Married,1,"Bachelor of Science in Engineering, Lviv Polytechnic National University; Ph.D, Moscow Institute of Physics and Technology",True
David Gottesman,2.8,United States,investments,1111,95,"Rye, New York",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Trinity College Connecticut",True
John Henry,2.8,United States,sports,1111,71,"Boca Raton, Florida",United States,Married,2,,True
